,method,n,m,timeGPU,checkGPU,timeCPU,checkCPU,speedup
0,0,2000,20000,0.006822824,TRUE,0.128522396,TRUE,18.83712479
1,1,2000,20000,0.002440971,TRUE,0.110029221,TRUE,45.07600483
2,2,2000,20000,0.001904726,TRUE,0.155992508,TRUE,81.89760921
3,3,2000,20000,0.001615763,TRUE,0.333467484,TRUE,206.3839457
4,0,2000,20000,0.001045942,TRUE,0.090065956,TRUE,86.10987007
5,1,2000,20000,0.002050526,TRUE,0.089928389,TRUE,43.85625376
6,2,2000,20000,0.001737118,TRUE,0.114494801,TRUE,65.91078781
7,3,2000,20000,0.001394749,TRUE,0.342084169,TRUE,245.265812
8,0,2000,60000,0.003069639,TRUE,0.172266483,TRUE,56.11945631
9,1,2000,60000,0.00477985,TRUE,0.23730278,TRUE,49.64649103
10,2,2000,60000,0.001850128,TRUE,0.236653328,TRUE,127.9118557
11,3,2000,60000,0.00191164,TRUE,1.210993052,TRUE,633.4837865
12,0,2000,60000,0.002105236,TRUE,0.169769526,TRUE,80.64156285
13,1,2000,60000,0.004963289,TRUE,0.216275454,TRUE,43.57502728
14,2,2000,60000,0.001774073,TRUE,0.233411074,TRUE,131.5679344
15,3,2000,60000,0.002445221,TRUE,0.882702589,TRUE,360.9909321
16,0,2000,120000,0.00330472,TRUE,0.271670103,TRUE,82.20669504
17,1,2000,120000,0.007496872,TRUE,0.351210356,TRUE,46.847586
18,2,2000,120000,0.003804922,TRUE,0.42813468,TRUE,112.5212733
19,3,2000,120000,0.002763987,TRUE,1.528477192,TRUE,552.997326
20,0,2000,120000,0.003455639,TRUE,0.275441885,TRUE,79.70794812
21,1,2000,120000,0.007534986,TRUE,0.378839016,TRUE,50.27733508
22,2,2000,120000,0.002456903,TRUE,0.38480711,TRUE,156.6228045
23,3,2000,120000,0.00295186,TRUE,2.022865534,TRUE,685.2849528
24,0,2000,160000,0.004239559,TRUE,0.336856127,TRUE,79.45546058
25,1,2000,160000,0.009122408,TRUE,0.466207027,TRUE,51.10569791
26,2,2000,160000,0.003114462,TRUE,0.476561546,TRUE,153.0156932
27,3,2000,160000,0.003837585,TRUE,1.712950706,TRUE,446.3615805
28,0,2000,160000,0.00516057,TRUE,0.336780071,TRUE,65.26024486
29,1,2000,160000,0.008777568,TRUE,0.505196571,TRUE,57.55541528
30,2,2000,160000,0.003099203,TRUE,0.477274418,TRUE,153.9990769
31,3,2000,160000,0.003810883,TRUE,1.757084846,TRUE,461.0703203
32,0,2000,200000,0.005059004,TRUE,0.402256966,TRUE,79.5130779
33,1,2000,200000,0.009558524,TRUE,0.53187108,TRUE,55.64364126
34,2,2000,200000,0.004366159,TRUE,0.586039305,TRUE,134.2230656
35,3,2000,200000,0.004841328,TRUE,2.191964626,TRUE,452.7610558
36,0,2000,200000,0.004710913,TRUE,0.403181076,TRUE,85.58449314
37,1,2000,200000,0.010504027,TRUE,0.493355513,TRUE,46.96822586
38,2,2000,200000,0.003469467,TRUE,0.556399107,TRUE,160.3701897
39,3,2000,200000,0.004735947,TRUE,2.578476191,TRUE,544.4478957
40,0,2000,240000,0.005498171,TRUE,0.463743687,TRUE,84.34508478
41,1,2000,240000,0.010808522,TRUE,0.597982645,TRUE,55.32510782
42,2,2000,240000,0.004053831,TRUE,0.667784214,TRUE,164.7291654
43,3,2000,240000,0.005588531,TRUE,3.0293262,TRUE,542.0612201
44,0,2000,240000,0.005719185,TRUE,0.465785027,TRUE,81.44255461
45,1,2000,240000,0.010781609,TRUE,0.636122704,TRUE,59.00072091
46,2,2000,240000,0.005175352,TRUE,0.663552999,TRUE,128.2140784
47,3,2000,240000,0.00558424,TRUE,2.612850428,TRUE,467.8972334
48,0,2000,320000,0.006886482,TRUE,0.591720581,TRUE,85.92494114
49,1,2000,320000,0.01272434,TRUE,0.759471893,TRUE,59.6865451
50,2,2000,320000,0.005413055,TRUE,0.8021276,TRUE,148.1838883
51,3,2000,320000,0.008771181,TRUE,3.521907806,TRUE,401.5317622
52,0,2000,320000,0.007111788,TRUE,0.592815399,TRUE,83.35673338
53,1,2000,320000,0.016353946,TRUE,0.729628801,TRUE,44.61484717
54,2,2000,320000,0.005357504,TRUE,0.813414812,TRUE,151.8271995
55,3,2000,320000,0.007727861,TRUE,3.488768101,TRUE,451.4532441
56,0,2000,400000,0.008152008,TRUE,0.71649909,TRUE,87.89234324
57,1,2000,400000,0.017682458,TRUE,0.854864836,TRUE,48.34536215
58,2,2000,400000,0.006353617,TRUE,0.994924545,TRUE,156.5918421
59,3,2000,400000,0.008790731,TRUE,4.448747396,TRUE,506.072496
60,0,2000,400000,0.008468628,TRUE,0.716452837,TRUE,84.60081644
61,1,2000,400000,0.015212399,TRUE,0.938359737,TRUE,61.68387625
62,2,2000,400000,0.006446838,TRUE,1.006019115,TRUE,156.0484467
63,3,2000,400000,0.008162975,TRUE,3.722326279,TRUE,456.0011683
64,0,2000,480000,0.009590149,TRUE,0.844349861,TRUE,88.04345664
65,1,2000,480000,0.021045173,TRUE,1.033207655,TRUE,49.09475702
66,2,2000,480000,0.007465363,TRUE,1.24895978,TRUE,167.3006196
67,3,2000,480000,0.009720802,TRUE,4.433526754,TRUE,456.0865054
68,0,2000,480000,0.009356022,TRUE,0.84540987,TRUE,90.35997146
69,1,2000,480000,0.020821694,TRUE,0.997247219,TRUE,47.89462467
70,2,2000,480000,0.007472515,TRUE,1.167278528,TRUE,156.209591
71,3,2000,480000,0.010111809,TRUE,4.291762114,TRUE,424.4307036
72,0,2000,560000,0.011398315,TRUE,0.964488506,TRUE,84.6167587
73,1,2000,560000,0.020512635,TRUE,1.177708149,TRUE,57.4137915
74,2,2000,560000,0.008811235,TRUE,1.410753965,TRUE,160.1085315
75,3,2000,560000,0.010603666,TRUE,4.93487072,TRUE,465.3928724
76,0,2000,560000,0.011479855,TRUE,0.970246553,TRUE,84.51732087
77,1,2000,560000,0.020571169,TRUE,1.15323329,TRUE,56.06065896
78,2,2000,560000,0.008390427,TRUE,1.452827454,TRUE,173.1529893
79,3,2000,560000,0.010734081,TRUE,5.141127348,TRUE,478.9536449
80,0,2000,600000,0.011273623,TRUE,1.048330307,TRUE,92.98965845
81,1,2000,600000,0.029766115,TRUE,1.226359606,TRUE,41.19985446
82,2,2000,600000,0.010365963,TRUE,1.535702229,TRUE,148.1485349
83,3,2000,600000,0.011095524,TRUE,5.398824453,TRUE,486.5767975
84,0,2000,600000,0.012349129,TRUE,1.060215473,TRUE,85.85346359
85,1,2000,600000,0.031572242,TRUE,1.23824048,TRUE,39.21927624
86,2,2000,600000,0.008966446,TRUE,1.53291297,TRUE,170.9610455
87,3,2000,600000,0.011156082,TRUE,4.34912014,TRUE,389.8429646
88,0,2000,700000,0.012576342,TRUE,1.215210676,TRUE,96.62672278
89,1,2000,700000,0.044822743,TRUE,1.343111992,TRUE,29.96496649
90,2,2000,700000,0.009999514,TRUE,1.819717646,TRUE,181.9806156
91,3,2000,700000,0.013582945,TRUE,6.19170928,TRUE,455.8443945
92,0,2000,700000,0.012303591,TRUE,1.216831207,TRUE,98.90049414
93,1,2000,700000,0.040385667,TRUE,1.332357883,TRUE,32.99085994
94,2,2000,700000,0.009907484,TRUE,1.822392464,TRUE,183.9409939
95,3,2000,700000,0.012886047,TRUE,6.357326508,TRUE,493.3496152
96,0,2000,800000,0.013903856,TRUE,1.377146959,TRUE,99.04784197
97,1,2000,800000,0.039297531,TRUE,1.484685183,TRUE,37.78062247
98,2,2000,800000,0.011286259,TRUE,2.078874826,TRUE,184.1952131
99,3,2000,800000,0.014838219,TRUE,5.711216211,TRUE,384.8990456
100,0,2000,800000,0.014191866,TRUE,1.383486271,TRUE,97.48445191
101,1,2000,800000,0.038825866,TRUE,1.480443239,TRUE,38.13033402
102,2,2000,800000,0.011786938,TRUE,2.079921246,TRUE,176.4598487
103,3,2000,800000,0.013549805,TRUE,5.91398406,TRUE,436.4626795
104,0,2000,900000,0.01542902,TRUE,1.545953989,TRUE,100.1978088
105,1,2000,900000,0.040809586,TRUE,1.721854925,TRUE,42.19241345
