id,n,m,avgD,method,GPU_time_cost(s),dist:GPU(method)==singleCPU(dij)?,singleCPU_time_cost(s),dist:singleCPU(method)==singleCPU(dij)?,singleCPU_time_cost/GPU_time_cost
0,100,100,1,dij,0.0229,TRUE,0.055,TRUE,2.401746725
1,100,100,1,spfa,0.0597,TRUE,0.0052,TRUE,0.087102178
2,100,100,1,delta,0.0117,TRUE,0.0155,TRUE,1.324786325
3,100,100,1,edge,0.0101,TRUE,0.0069,TRUE,0.683168317
4,100,200,2,dij,0.0149,TRUE,0.0042,TRUE,0.281879195
5,100,200,2,spfa,0.0009,TRUE,0.0025,TRUE,2.777777778
6,100,200,2,delta,0.0073,TRUE,0.0051,TRUE,0.698630137
7,100,200,2,edge,0.0054,TRUE,0.0043,TRUE,0.796296296
8,100,400,4,dij,0.0125,TRUE,0.0053,TRUE,0.424
9,100,400,4,spfa,0.0009,TRUE,0.0038,TRUE,4.222222222
10,100,400,4,delta,0.0058,TRUE,0.0065,TRUE,1.120689655
11,100,400,4,edge,0.0066,TRUE,0.0081,TRUE,1.227272727
12,100,800,8,dij,0.013,TRUE,0.0063,TRUE,0.484615385
13,100,800,8,spfa,0.0008,TRUE,0.0041,TRUE,5.125
14,100,800,8,delta,0.0066,TRUE,0.0069,TRUE,1.045454545
15,100,800,8,edge,0.0048,TRUE,0.0132,TRUE,2.75
16,100,1600,16,dij,0.0111,TRUE,0.0083,TRUE,0.747747748
17,100,1600,16,spfa,0.0007,TRUE,0.007,TRUE,10
18,100,1600,16,delta,0.0067,TRUE,0.0095,TRUE,1.417910448
19,100,1600,16,edge,0.019,TRUE,0.024,TRUE,1.263157895
